8823,HOLIDAY,Na･de･Na･deボーイ,P,SUGINAMI MELODY,Y,あじさい通り,ありふれた人生,あわ,いろは,うめぼし,おっぱい,けもの道,さらばユニヴァース,さわって・変わって,ただ春を待つ,たまご,つぐみ,ほうき星,みそか,アカネ,アパート,インディゴ地平線,ウィリー,ウサギのバイク,エスカルゴ,エトランゼ,ガーベラ,クリスピー,グラスホッパー,コスモス,シャララ,ジュテーム？,スーパーノヴァ,スカーレット,スターゲイザー,スパイダー,スピカ,センチメンタル,チェリー,テイタム・オニール,テクテク,テレビ,トゲトゲの木,トビウオ,トンガリ’95,ナナへの気持ち,ナンプラー日和,ニノウデの世界,ネズミの進化,ハートが帰らない,ハイファイ・ローファイ,ハチミツ,ハネモノ,ハヤテ,バニーガール,ババロア,ヒバリのこころ,ビー玉,フェイクファー,プール,ヘチマの花,ベビーフェイス,マーメイド,マフラーマン,ミカンズのテーマ,ムーンライト,メモリーズ,ルキンフォー,ルナルナ,ローテク・ロマンティカ,ロビンソン,ワタリ,愛のことば,稲穂,運命の人,俺のすべて,俺の赤い星,夏が終わる,夏の魔物,花泥棒,会いに行くよ,海とピンク,海ねこ,海を見に行こう,甘い手,甘ったれクリーチャー,魚,胸に咲いた黄色い花,空も飛べるはず,君が思い出になる前に,君と暮らせたら,群青,今,砂漠の花,三日月ロック その３,自転車,謝々！,若葉,春の歌,春夏ロケット,初恋クレイジー,渚,心の底から,正夢,青い車,青春生き残りゲーム,船乗り,孫悟空,大宮サンセット,仲良し,鳥になって,点と点,田舎の生活,桃,日なたの窓に憧れて,猫になりたい,不思議,不死身のビーナス,楓,歩き出せ、クローバー,放浪カモメはどこまでも,僕のギター,僕の天使マリ,僕はジェット,魔女旅に出る,魔法のコトバ,夢じゃない,夢追い虫,名前をつけてやる,迷子の兵隊,夜を駆ける,野生のチューリップ,優しくなりたいな,夕焼け,夕陽が笑う、君も笑う,遥か,裸のままで,流れ星,旅の途中,旅人,涙がキラリ☆,冷たい頬,恋のうた,恋のはじまり,恋は夕暮れ,漣,惑星のかけら,1-2 Love Forever,Sakura,,3月9日,もっと遠くへ,アカシア,シフト,スタンドバイミー,モラトリアム,茜空,雨上がり,蛍,紙ふぶき,電話,南風,粉雪,夢の蕾,流星,#2601,365日,All by myself,Another Mind,Another Story,Any,CANDY,CROSS ROAD,Drawing,Everything (It’s you),GIFT,HANABI,HERO,I’LL BE,Image,It’s a wonderful world,Love is Blindness,Mirror,NOT FOUND,PADDLE,Pink～奇妙な夢,Prism,Replay,Round About～孤独の肖像～,SUNRISE,Sign,So Let’s Get Truth,Surrender,Tomorrow never knows,UFO,Wake me up!,and I love you,everybody goes～秩序のない現代にドロップキック～,my confidence song,youthful days,【es】～Theme of es～,ありふれた Love Story～男女問題はいつも面倒だ～,あんまり覚えてないや,かぞえうた,くるみ,こんな風にひどく蒸し暑い日,しるし,その向こうへ行こう,ためいきの日曜日,つよがり,また会えるかな,もっと,innocent world,エソラ,シーソーゲーム～勇敢な恋の歌～,ジェラシー,スロースターター,タガタメ,ニシエヒガシエ,フェイク,ポケット カスタネット,メインストリートに行こう,ヨーイドン,ランニングハイ,ロード・アイ・ミス・ユー,ロードムービー,ロックンロールは生きている,雨のち晴れ,花 -Mémento-Mori-,花の匂い,花言葉,隔たり,祈り ～涙の軌道,空風の帰り道,君がいた夏,君が好き,君の事以外は何も考えられない,血の管,言わせてみてぇもんだ,口がすべって,口笛,彩り,思春期の夏～君との恋が今も牧場に～,車の中でかくれてキスをしよう,終わりなき旅,終末のコンフィデンスソング,十二月のセントラルパークブルース,少年,掌,深海,水上バス,声,跳べ,通り雨,天頂バス,東京,逃亡者,独り言,虹の彼方へ,風～The wind knows how I feel～,風と星とメビウスの輪,抱きしめたい,僕らの音,未来,名もなき詩,妄想満月,優しい歌,羊、吠える,旅人,旅立ちの唄,虜,箒星,蜃気楼,AM11:00,DADA
タガタメ, 64043, 3100, 25325, 6783, 366, 342, 1067, 5352, 4525, 511, 19412, 22469, 37448, 831, 11035, 5629, 37453, 3169, 703, 17919, 31159, 31507, 856, 4161, 28910, 17760, 12680, 78833, 7415, 23586, 7609, 70277, 60941, 4435, 10296, 9800, 20204, 11159, 1171, 55157, 7154, 34740, 43450, 28528, 23446, 26920, 4528, 282, 3099, 29829, 109, 42983, 44384, 14135, 2623, 19248, 1999, 46454, 28579, 32818, 6216, 319, 3129, 13771, 894, 1740, 67, 571, 3115, 1602, 133, 2673, 332, 10006, 22086, 10159, 22698, 3912, 319, 32795, 403, 18544, 2773, 846, 11736, 8818, 2619, 21441, 8146, 25648, 2093, 38670, 5720, 4213, 2506, 30069, 55360, 18639, 7169, 39393, 9050, 17288, 24419, 21544, 47683, 3352, 303, 2726, 1664, 16367, 23099, 34158, 48686, 31671, 9965, 192, 11036, 17835, 34181, 58590, 6234, 30639, 5971, 16911, 30396, 12055, 5651, 10665, 871, 11225, 113, 43209, 69704, 13527, 12223, 6310, 2321, 11293, 910, 931, 18761, 7989, 6405, 9565, 2667, 17132, 19837, 6451, 8603, 1999, 271, 44745, 2789, 134, 26195, 137, 11810, 149, 2851, 416, 187, 344, 184, 3067, 671, 247, 3535, 228, 109, 9705, 120, 156, 145, 232, 204, 4056, 606, 271, 168, 311, 103, 299, 2779, 7359, 343, 3136, 5141, 31699, 689, 5205, 11888, 227, 40880, 81675, 191, 419, 276, 351, 119, 6937, 5046, 100, 565, 95, 530, 16, 91, 218, 133, 271, 634, 24202, 163, 1049, 174, 1577, 3846, 4415, 0, 311, 1071, 584, 8764, 1604, 100, 1255, 14646, 83710, 5023, 7532, 287, 599, 1987, 270, 2778, 136, 119, 13446, 133, 1176, 1092, 100, 85, 234, 24962, 244, 183, 271, 103, 1198, 2359, 109, 1671, 10441, 4815, 95, 1020, 47993, 7571, 3228, 8246, 111, 450, 184, 259, 1104, 1138, 1772, 118, 5223, 187, 93, 126, 4613, 31546, 43989 
ニシエヒガシエ, 71908, 4567, 30708, 9712, 1053, 13, 2176, 7781, 6652, 1250, 23965, 27316, 43279, 2090, 14620, 8110, 42880, 5154, 1568, 22106, 36822, 37162, 1757, 6312, 34029, 21613, 16477, 87514, 10224, 28745, 10446, 78166, 68068, 6464, 13397, 12887, 24797, 14606, 2312, 62780, 9809, 40595, 50087, 33529, 28591, 32319, 6279, 273, 4890, 35226, 218, 49000, 51227, 17978, 4208, 23693, 3104, 52507, 33408, 38101, 8275, 344, 4934, 17618, 1825, 2873, 358, 1352, 4934, 2569, 86, 4216, 597, 12831, 26797, 13364, 26995, 6019, 14, 38560, 518, 22703, 4328, 1525, 14983, 11933, 4408, 26180, 10729, 30833, 3780, 43957, 8221, 6008, 4245, 35094, 62659, 23194, 9906, 44986, 11985, 20965, 29002, 26197, 54756, 5217, 1028, 4531, 3195, 20096, 27568, 39523, 55711, 36716, 13260, 607, 14689, 21768, 40336, 65255, 8737, 35782, 8704, 20856, 36257, 15516, 7734, 13914, 1426, 14640, 228, 49842, 76937, 16732, 15864, 8555, 3806, 14250, 1997, 1922, 22536, 10850, 8768, 12698, 4288, 21421, 24520, 8910, 10814, 3514, 2, 50936, 4150, 459, 30772, 482, 14895, 226, 4616, 975, 742, 975, 127, 4820, 1602, 1032, 5408, 273, 434, 13024, 381, 29, 128, 279, 63, 6449, 1541, 2, 399, 0, 338, 294, 3704, 10312, 8, 5101, 7262, 37256, 1516, 7628, 15395, 346, 46437, 90678, 570, 774, 391, 954, 494, 9598, 7419, 83, 1490, 162, 1489, 229, 242, 105, 134, 2, 1487, 28817, 26, 2282, 529, 2826, 5591, 6498, 311, 0, 2118, 1493, 11505, 3057, 221, 2450, 18821, 92679, 6956, 10519, 18, 1148, 3800, 1019, 4527, 81, 138, 17419, 386, 2341, 2021, 129, 416, 303, 29833, 13, 632, 800, 122, 1951, 4096, 164, 2932, 13914, 7160, 244, 2153, 53958, 10634, 5045, 10785, 308, 1015, 21, 104, 2087, 1895, 3425, 321, 7752, 854, 256, 301, 6832, 36651, 50496 
フェイク, 49814, 1089, 17804, 3422, 527, 2093, 246, 2303, 2228, 1368, 12275, 14722, 27403, 412, 6256, 2240, 27996, 870, 1446, 11344, 23138, 21854, 375, 1396, 20011, 11391, 8855, 64302, 4066, 15717, 3702, 56166, 47862, 1626, 5673, 5311, 12851, 6238, 254, 42854, 3071, 24963, 32913, 19717, 16099, 19067, 1807, 1413, 1350, 21120, 1348, 32226, 34681, 7958, 1056, 12067, 882, 35143, 20382, 23711, 3023, 1446, 878, 7806, 693, 651, 944, 1390, 1200, 821, 1444, 616, 807, 5407, 14223, 5238, 14997, 1709, 2040, 23694, 1368, 11661, 1456, 743, 6481, 6173, 946, 14154, 4281, 17379, 688, 28987, 2313, 1876, 515, 21282, 42731, 12324, 3376, 29092, 5027, 10941, 16248, 14829, 36460, 1075, 506, 1005, 649, 10146, 15606, 24689, 36639, 22982, 5270, 511, 6367, 11372, 24834, 45665, 3131, 21614, 2782, 10450, 21583, 6710, 2570, 6528, 874, 6474, 1106, 31632, 55051, 8358, 7938, 3441, 604, 6010, 201, 1560, 11748, 3968, 2824, 5928, 966, 10715, 13368, 3314, 4542, 522, 2040, 34098, 836, 747, 18244, 838, 6821, 1068, 2158, 779, 846, 743, 1341, 1252, 376, 526, 3366, 1175, 1230, 5680, 865, 1791, 1304, 1211, 1663, 1945, 317, 2040, 829, 2118, 1416, 1480, 1406, 3732, 2118, 1071, 1930, 22510, 548, 2494, 6647, 1016, 30447, 65660, 608, 692, 1241, 590, 1074, 3092, 2383, 1449, 368, 1560, 433, 1123, 1480, 1567, 1512, 2040, 203, 16137, 1764, 190, 791, 528, 1591, 4056, 1071, 2118, 0, 837, 4373, 379, 1543, 126, 9777, 68027, 2010, 3503, 1920, 682, 854, 389, 735, 1427, 1294, 8503, 1188, 127, 361, 1235, 850, 1071, 16843, 1833, 914, 1318, 1504, 931, 1718, 1370, 1062, 6012, 1778, 1030, 189, 36444, 4132, 941, 3797, 990, 407, 1751, 1710, 321, 555, 479, 1053, 2454, 1012, 994, 1075, 2316, 22647, 32822 
ポケット カスタネット, 56535, 2152, 19487, 4343, 196, 1576, 801, 3352, 2553, 143, 15120, 17641, 30972, 477, 8185, 3749, 31731, 1715, 149, 14627, 24189, 25855, 466, 2909, 23756, 13822, 8736, 69441, 4421, 18924, 5729, 62075, 54013, 3241, 7148, 7006, 15990, 7759, 829, 47223, 5012, 28924, 35738, 23254, 17940, 20810, 3258, 1156, 2339, 24723, 729, 36817, 36068, 11097, 1229, 15320, 1505, 40092, 23165, 27222, 4642, 1121, 2163, 10363, 620, 1246, 663, 141, 1725, 1324, 945, 1849, 846, 7630, 17190, 7513, 18316, 1936, 1493, 27085, 1097, 14782, 1429, 724, 8916, 5126, 1211, 16567, 5976, 20810, 1157, 33184, 3598, 2739, 1870, 24867, 48382, 13897, 5027, 33641, 5960, 13516, 20097, 16238, 40321, 2346, 233, 1248, 590, 12793, 18237, 28354, 41468, 26465, 7225, 644, 7662, 13891, 27877, 51278, 3990, 25261, 3701, 13647, 24586, 9299, 3913, 7471, 1097, 7981, 699, 36697, 62114, 10307, 7861, 4430, 1567, 8589, 532, 191, 15177, 5475, 4319, 6545, 1429, 13522, 14829, 4075, 6849, 1139, 1391, 37999, 2007, 560, 21603, 479, 8922, 871, 973, 532, 161, 212, 1094, 1799, 477, 417, 1493, 1030, 377, 6401, 594, 1144, 1097, 1034, 1196, 2226, 232, 1391, 776, 1493, 479, 1137, 2501, 4741, 1577, 1534, 3583, 25825, 461, 2853, 8496, 865, 35178, 72825, 625, 825, 970, 395, 367, 4685, 3134, 986, 517, 719, 112, 740, 591, 1200, 1241, 1391, 750, 19912, 1217, 471, 548, 791, 2640, 2063, 584, 1493, 837, 0, 6482, 1292, 636, 683, 10016, 75330, 3497, 5372, 1449, 789, 1037, 210, 1588, 1064, 889, 9622, 557, 830, 816, 904, 469, 1000, 20818, 1334, 365, 213, 799, 1020, 741, 817, 657, 7205, 2953, 829, 464, 42297, 4733, 2016, 6164, 637, 560, 1248, 1277, 732, 1112, 838, 672, 3241, 183, 737, 660, 3669, 26210, 38143 
メインストリートに行こう, 29933, 2324, 7351, 1531, 6556, 11302, 4709, 3114, 2183, 7905, 3698, 4741, 11744, 5577, 4161, 799, 12235, 2651, 7641, 7641, 13319, 9727, 5112, 3023, 7380, 2484, 5110, 36887, 1901, 6476, 961, 30775, 24551, 4057, 1234, 956, 3828, 1165, 5365, 24071, 1678, 10082, 15274, 6474, 6190, 10038, 1268, 8902, 3135, 7147, 9353, 14885, 21796, 3161, 3951, 3934, 4189, 15644, 7893, 8936, 1462, 9521, 1813, 2823, 5510, 3644, 8675, 7813, 1915, 4138, 10003, 2305, 7548, 722, 4574, 665, 3854, 3796, 11307, 9209, 9011, 2524, 3351, 5692, 1124, 4732, 4159, 7031, 808, 6360, 3651, 13770, 1296, 2561, 3292, 7371, 21744, 6455, 629, 12625, 4536, 2144, 4797, 5020, 17543, 2390, 6781, 4112, 4758, 1697, 4313, 9090, 18328, 9141, 3063, 7356, 1736, 3077, 12571, 22972, 1112, 7835, 2737, 1967, 8830, 979, 713, 2563, 5561, 997, 9151, 16465, 30558, 3203, 4285, 1534, 2409, 787, 4450, 7413, 2585, 681, 479, 3433, 2617, 5648, 5073, 2083, 1607, 2739, 11313, 15865, 2587, 7704, 6273, 7521, 1218, 8579, 5613, 6356, 7441, 6772, 9368, 2149, 5539, 6405, 6825, 8500, 8781, 2021, 7890, 10738, 9411, 8526, 10332, 2322, 5418, 11313, 7724, 11505, 9321, 9665, 5037, 2261, 11513, 2826, 1055, 8445, 5985, 1979, 1290, 8387, 13804, 39873, 7239, 7051, 8986, 6355, 8003, 689, 1106, 10000, 5823, 9921, 5774, 9130, 9613, 9820, 10191, 11313, 5264, 4468, 10725, 4229, 7368, 3187, 1492, 6945, 8764, 11505, 4373, 6482, 0, 4312, 9786, 3621, 5562, 40986, 985, 2414, 10901, 6397, 3789, 6242, 2652, 9990, 9257, 3374, 8787, 3988, 4362, 9466, 8355, 8368, 5080, 10852, 7725, 8425, 9857, 5184, 5385, 9535, 5047, 4463, 1357, 9117, 4228, 17433, 3837, 1826, 1520, 8301, 6064, 10720, 10445, 4054, 4408, 3470, 8250, 3729, 7837, 8955, 8860, 2131, 8262, 15279 
ヨーイドン, 46845, 1896, 16515, 2605, 1006, 3022, 269, 1668, 2133, 1907, 11004, 13803, 26718, 303, 4693, 1873, 27585, 717, 1937, 9247, 21615, 20393, 1094, 793, 19086, 11518, 7938, 61911, 4065, 13784, 2919, 54627, 46529, 995, 5910, 5008, 11478, 5949, 249, 40309, 2746, 23466, 31530, 19166, 14980, 17468, 2440, 2162, 1023, 19703, 2123, 31449, 32542, 6617, 1307, 10762, 1553, 34676, 19729, 23048, 3412, 2249, 821, 6561, 1102, 1098, 1487, 1913, 1379, 1258, 2261, 989, 1734, 5310, 13512, 4979, 15096, 1420, 2975, 21977, 2135, 11184, 1577, 1222, 6370, 5870, 743, 12577, 4114, 15958, 469, 28786, 2324, 2167, 194, 20523, 40792, 10625, 2925, 28837, 4302, 10790, 15803, 14638, 34501, 636, 907, 830, 586, 10153, 15445, 24484, 34548, 22077, 3999, 1038, 5440, 11529, 22819, 45228, 2902, 21239, 1947, 9821, 19794, 6009, 2871, 5635, 1395, 6289, 1847, 29617, 54726, 9133, 7269, 3356, 911, 6385, 622, 2003, 12001, 3587, 3125, 5339, 1489, 8776, 12481, 2851, 5455, 659, 2963, 33513, 1703, 1328, 18045, 1603, 6816, 1929, 2297, 1296, 1443, 1296, 2256, 1325, 807, 721, 3473, 2018, 1955, 4913, 1646, 2614, 2141, 2008, 2528, 1326, 602, 2963, 1584, 3057, 2147, 2295, 2729, 2881, 3065, 914, 2001, 21869, 1101, 2249, 6410, 1931, 30276, 62385, 1419, 1623, 2008, 1211, 1711, 3015, 2152, 2204, 515, 2355, 744, 1692, 2243, 2394, 2123, 2963, 612, 15598, 2567, 387, 1474, 949, 1792, 4083, 1604, 3057, 379, 1292, 4312, 0, 2318, 521, 8542, 64992, 2525, 2510, 2835, 1309, 729, 840, 590, 2206, 2187, 7540, 1907, 458, 938, 2062, 1451, 2000, 15694, 2728, 1545, 1937, 2315, 1344, 1729, 2165, 1381, 4763, 1471, 1643, 606, 36283, 3187, 1174, 4224, 1797, 1240, 2580, 2585, 936, 1256, 316, 1762, 1705, 1439, 1647, 1804, 1517, 21916, 30921 
ランニングハイ, 67193, 3582, 26701, 7741, 474, 278, 1601, 6250, 5111, 421, 21088, 23993, 39132, 1269, 12395, 6585, 39205, 3837, 613, 19725, 32241, 33429, 1086, 5113, 30874, 18930, 13474, 81777, 8037, 25520, 8871, 73135, 63713, 5349, 11170, 10812, 21970, 12173, 1649, 57667, 8168, 36878, 45206, 30212, 24842, 28228, 5184, 338, 3915, 31857, 89, 45097, 45806, 15783, 2983, 20968, 2409, 48580, 30225, 34478, 6980, 369, 3919, 15225, 1176, 2178, 215, 481, 3657, 1994, 103, 3321, 462, 11076, 23564, 11379, 24148, 4376, 259, 34843, 483, 20052, 3213, 1130, 12898, 9198, 3075, 22895, 9114, 27642, 2685, 40502, 6496, 4803, 3350, 31899, 58144, 19907, 8223, 41343, 9734, 18610, 26187, 22530, 50029, 4182, 493, 3178, 2020, 17621, 24437, 35838, 51188, 33461, 11249, 432, 12166, 18991, 36115, 60938, 6976, 32411, 6829, 18521, 32326, 13501, 6395, 11775, 1131, 12199, 123, 45641, 72342, 14379, 12883, 7022, 2951, 12375, 1290, 841, 20161, 9021, 7181, 10421, 3089, 18850, 21075, 7029, 9419, 2547, 181, 46621, 3295, 256, 27747, 191, 12898, 209, 2921, 566, 219, 460, 212, 3629, 995, 561, 3445, 298, 49, 10575, 198, 104, 213, 304, 186, 4792, 866, 181, 302, 221, 13, 339, 3129, 8323, 273, 3718, 5967, 33389, 927, 5767, 12942, 311, 42842, 85239, 349, 579, 356, 505, 113, 7891, 5776, 122, 965, 5, 724, 124, 1, 230, 259, 181, 1072, 25982, 145, 1471, 286, 1933, 4516, 4325, 100, 221, 1543, 636, 9786, 2318, 0, 1685, 15528, 87404, 5741, 8726, 243, 833, 2545, 486, 3420, 164, 115, 14586, 133, 1682, 1466, 128, 167, 308, 26978, 196, 237, 181, 53, 1516, 2485, 99, 1951, 11463, 5649, 205, 1360, 50263, 8377, 3900, 9184, 165, 656, 162, 249, 1446, 1460, 2324, 178, 6061, 241, 175, 156, 5677, 33310, 46681 
ロード・アイ・ミス・ユー, 48782, 775, 16398, 2782, 575, 2415, 254, 2093, 1664, 1250, 11211, 13648, 25821, 504, 6056, 1784, 26450, 706, 1274, 11402, 21900, 20912, 355, 1450, 18459, 10177, 7925, 61386, 3262, 14821, 3124, 53608, 45478, 1868, 4719, 4627, 11927, 5316, 486, 41294, 2869, 23257, 30751, 18031, 14811, 18073, 1315, 1555, 1168, 19558, 1534, 30610, 33223, 7654, 794, 11417, 850, 32867, 18530, 22201, 2481, 1702, 618, 7290, 689, 479, 1184, 1254, 740, 627, 1728, 432, 999, 4641, 13157, 4482, 13593, 1539, 2354, 22122, 1600, 10613, 844, 591, 5851, 5075, 908, 13572, 3483, 16109, 598, 27647, 1877, 1384, 621, 19500, 40705, 11604, 2738, 27552, 4839, 9555, 14966, 13261, 34350, 929, 602, 939, 607, 8906, 13902, 22843, 35021, 21296, 4944, 735, 5471, 10216, 23724, 43095, 2477, 19850, 2536, 9318, 20173, 5830, 1868, 5390, 752, 5414, 1364, 30588, 52793, 7580, 6848, 2703, 356, 5168, 189, 1334, 10564, 3176, 2162, 5226, 658, 10369, 12178, 2790, 3950, 280, 2354, 32204, 660, 899, 17016, 888, 5947, 1246, 1710, 703, 852, 641, 1581, 876, 414, 570, 2762, 1331, 1304, 4862, 983, 2073, 1572, 1357, 1947, 1379, 271, 2354, 971, 2450, 1514, 1744, 1422, 3204, 2470, 775, 1538, 20866, 526, 1980, 5813, 1158, 28973, 63722, 752, 860, 1473, 578, 1082, 2440, 1787, 1731, 434, 1730, 401, 1375, 1614, 1803, 1862, 2354, 291, 14869, 2072, 126, 875, 178, 1169, 3362, 1255, 2450, 126, 683, 3621, 521, 1685, 0, 8861, 65557, 1410, 3321, 2226, 732, 654, 417, 569, 1741, 1496, 7631, 1322, 103, 231, 1513, 1050, 1249, 15593, 2153, 970, 1290, 1674, 623, 1386, 1584, 770, 5738, 1344, 1348, 115, 34654, 3816, 607, 3449, 1134, 457, 2073, 2014, 177, 417, 341, 1187, 2310, 1026, 1282, 1293, 2032, 21011, 31100 
ロードムービー, 23639, 8866, 2767, 2859, 11230, 19004, 9557, 3706, 5045, 11521, 3294, 3957, 10596, 8993, 2011, 4535, 14447, 4977, 10813, 3997, 3603, 6505, 10266, 5217, 8350, 6212, 2178, 33915, 2813, 3696, 5019, 31213, 28111, 5651, 3962, 3924, 3934, 2593, 9017, 16563, 3866, 9730, 10934, 8358, 2590, 2386, 8160, 16724, 7951, 8739, 15593, 16033, 8462, 3219, 6613, 3856, 10145, 19540, 9221, 10626, 7778, 16377, 7143, 2135, 10604, 9878, 14477, 11281, 6501, 11036, 16477, 8203, 14622, 6188, 3552, 4259, 7924, 3956, 18733, 8431, 15807, 5880, 7523, 11990, 4990, 2290, 5363, 2133, 6052, 5800, 6881, 16374, 3976, 7083, 7250, 10157, 21422, 919, 4413, 15497, 2022, 6686, 8341, 4034, 14195, 6620, 11257, 5188, 6654, 6293, 6821, 11606, 14334, 11571, 2321, 13466, 1762, 6057, 5987, 26474, 4420, 10071, 2527, 6483, 5516, 4707, 6797, 3653, 13341, 3649, 15113, 11535, 33884, 6587, 713, 6662, 8451, 6071, 9590, 10141, 7943, 4045, 5415, 3437, 7197, 2748, 2275, 4159, 9067, 7659, 18481, 16291, 9163, 13888, 9493, 13985, 5714, 15819, 5673, 12788, 12301, 11912, 16880, 6807, 10553, 11861, 6445, 16246, 14053, 1847, 14500, 17520, 16803, 16246, 17484, 4202, 9856, 18481, 14894, 18821, 14713, 16575, 12297, 2235, 19017, 4910, 6083, 8237, 10931, 3359, 2918, 15525, 16984, 34397, 13925, 14055, 15680, 12287, 13775, 4249, 4878, 16592, 10625, 15905, 9784, 15262, 15301, 17342, 17155, 18481, 11414, 8082, 17677, 8527, 13886, 8803, 7622, 5825, 14646, 18821, 9777, 10016, 5562, 8542, 15528, 8861, 0, 38920, 7253, 2990, 18509, 12895, 6953, 11312, 6074, 16784, 16273, 1816, 14581, 9422, 10654, 16148, 13761, 16046, 8278, 18092, 13233, 12781, 16185, 11900, 6037, 15975, 8503, 1127, 4235, 15271, 9004, 22895, 1489, 6708, 5944, 14905, 12562, 17758, 17625, 10284, 12098, 6742, 14940, 3277, 12205, 14997, 14862, 7247, 10740, 15931 
ロックンロールは生きている, 8209, 58724, 22591, 45223, 76914, 92264, 67887, 51626, 54471, 80179, 23758, 22173, 15260, 70347, 40751, 46863, 19159, 56831, 78847, 35519, 29063, 16855, 71030, 54321, 16282, 28858, 43506, 4813, 46343, 21188, 41711, 3609, 4377, 57013, 40070, 40524, 23414, 36159, 69571, 10399, 45404, 11698, 12674, 16784, 24058, 27304, 52826, 85584, 59173, 15243, 86213, 14443, 24640, 32409, 63787, 26020, 66779, 10018, 21259, 19046, 50012, 86367, 55387, 32807, 72814, 66020, 82921, 79731, 57153, 68156, 88167, 58271, 80450, 39844, 23730, 36635, 23314, 58934, 91933, 15645, 84743, 25462, 61157, 73442, 36356, 50902, 62559, 29775, 44166, 17614, 62453, 20762, 47380, 57877, 59386, 18257, 3566, 33095, 43473, 14627, 50130, 28530, 19367, 27126, 7699, 56610, 76559, 62076, 66510, 28775, 22763, 15542, 7796, 20363, 40929, 79020, 36146, 28583, 17777, 7974, 48828, 16737, 50021, 27717, 15530, 33401, 48943, 39445, 74647, 37479, 85427, 11591, 6476, 38215, 42049, 50588, 59555, 37031, 68654, 77551, 26723, 41275, 46835, 45797, 60355, 32210, 27867, 52181, 45405, 61297, 92131, 15217, 60419, 81106, 23995, 80803, 37356, 84135, 66603, 77170, 79751, 77094, 86522, 58317, 71953, 75523, 69487, 84166, 84295, 42273, 82002, 90260, 86297, 84324, 89274, 53136, 72112, 92131, 81292, 92679, 85867, 86871, 66683, 45171, 92679, 57790, 50963, 15491, 74179, 52331, 34782, 82797, 16310, 2813, 79309, 78673, 84752, 77113, 82265, 43659, 50872, 87794, 72345, 87891, 73418, 84806, 86871, 88058, 87829, 92131, 71046, 19592, 90127, 66921, 80678, 64485, 55602, 67827, 83710, 92679, 68027, 75330, 40986, 64992, 87404, 65557, 38920, 0, 50951, 44258, 91159, 76759, 61883, 75456, 58404, 87964, 86135, 35652, 84229, 65810, 69158, 86328, 82371, 83478, 17790, 90828, 80875, 82479, 87571, 71318, 67391, 86761, 68205, 44097, 50209, 84821, 67664, 10819, 48867, 55068, 43312, 83075, 75430, 90240, 89451, 68312, 70046, 62392, 83356, 52975, 80127, 84527, 84508, 53333, 18886, 6387 
雨のち晴れ, 38932, 747, 11316, 1916, 3565, 6817, 2332, 2437, 1636, 4606, 6545, 8380, 17643, 3170, 5404, 846, 18212, 1486, 4492, 9974, 17698, 14670, 2489, 2328, 11013, 5073, 6581, 46902, 2068, 10209, 1522, 39602, 32356, 3200, 1693, 2363, 7225, 2430, 3060, 32200, 2049, 14991, 21591, 10357, 9847, 14103, 355, 5117, 1918, 12202, 5418, 21212, 27699, 5186, 1912, 7429, 2228, 21443, 10828, 14533, 1087, 5516, 802, 4814, 3105, 1493, 4954, 4564, 914, 2005, 5866, 732, 4057, 1807, 7837, 1520, 6815, 2779, 6742, 14600, 5246, 5423, 1352, 2725, 2783, 4241, 2700, 10452, 1089, 9941, 2092, 19465, 1073, 1112, 1889, 11314, 29255, 9286, 1114, 18378, 4985, 4085, 8190, 7857, 24444, 1585, 3724, 2675, 2823, 3780, 7156, 13983, 25507, 13152, 3980, 3963, 3185, 5196, 17960, 29703, 1517, 11422, 2864, 4172, 13753, 2352, 410, 3022, 2886, 2160, 5272, 22670, 38417, 4164, 5040, 1539, 834, 1390, 2129, 4414, 4692, 1094, 420, 3978, 1204, 8189, 8040, 2374, 1422, 1242, 6814, 22456, 890, 4275, 10512, 4026, 2631, 4702, 3732, 3383, 4122, 3399, 5311, 1344, 2810, 3484, 4876, 4725, 5002, 3384, 4249, 6405, 5360, 4779, 6079, 1669, 2769, 6814, 4163, 6956, 5422, 5614, 2324, 2648, 6956, 1565, 650, 13020, 2820, 1960, 2783, 4426, 19757, 50350, 3726, 3694, 5119, 3258, 4494, 626, 1191, 5859, 3138, 5822, 3101, 5273, 5614, 5729, 6046, 6814, 2539, 8217, 6394, 2050, 4001, 1218, 943, 5246, 5023, 6956, 2010, 3497, 985, 2525, 5741, 1410, 7253, 50951, 0, 2875, 6502, 3300, 2068, 3191, 1531, 5849, 5238, 5271, 5002, 1729, 1773, 5417, 4728, 4559, 9037, 6473, 4268, 4876, 5670, 2351, 3500, 5468, 2360, 5434, 848, 5276, 1957, 23490, 4090, 641, 1545, 4568, 2839, 6385, 6164, 1655, 1935, 1905, 4677, 3228, 4474, 5144, 5049, 2168, 13191, 21420 
